districts,district total:,"Less than 10,000","10,000 to 14,999","15,000 to 19,999","20,000 to 24,999","25,000 to 29,999","30,000 to 34,999","35,000 to 39,999","40,000 to 44,999","45,000 to 49,999","50,000 to 59,999","60,000 to 74,999","75,000 to 99,999","100,000 to 124,999","125,000 to 149,999","150,000 to 199,999","200,000 or more"
"District 2, Hamilton County, TN",14680,619,469,516,646,649,696,701,614,642,961,1473,1649,1349,855,1074,1767
"District 1, Hamilton County, TN",14539,721,822,734,629,695,735,797,694,701,1245,1525,1983,904,719,773,862
"District 4, Hamilton County, TN",14235,1998,1428,1679,1050,1117,1100,942,518,577,902,852,1013,394,318,124,223
"District 19, Davidson County, TN",11000,1697,426,497,441,412,288,374,298,276,722,991,1481,753,554,764,1026
"District 32, Davidson County, TN",10774,454,358,270,574,456,531,559,676,820,1303,1912,1525,614,368,274,80
"District 31, Davidson County, TN",9996,206,155,169,289,204,304,490,467,394,900,1086,1601,1675,698,538,820
"District 22, Davidson County, TN",9768,255,308,327,451,285,369,369,426,556,1049,1100,1589,1269,463,517,435
"District 14, Davidson County, TN",9701,532,245,414,365,572,660,410,508,467,1156,1248,1343,798,481,249,253
"District 24, Davidson County, TN",9359,336,329,298,168,241,446,214,426,307,571,544,1191,1069,771,860,1588
"District 7, Davidson County, TN",8923,620,359,572,534,334,391,595,427,447,458,828,1136,934,298,542,448
"District 4, Davidson County, TN",8686,210,151,211,105,269,187,248,348,331,681,600,1186,956,974,1101,1128
"District 12, Davidson County, TN",8612,284,245,358,228,449,201,478,184,393,575,994,1404,952,586,764,517
"District 11, Sullivan County, TN",8590,966,772,817,621,554,730,436,437,399,496,757,755,319,177,223,131
"District 21, Davidson County, TN",8387,1250,695,406,584,387,559,413,346,411,881,651,714,407,217,238,228
"District 2, Sullivan County, TN",8362,792,577,605,533,449,405,645,398,241,753,739,939,552,259,312,163
"District 11, Davidson County, TN",8345,275,237,254,375,498,376,429,571,423,558,1184,1293,645,438,565,224
"District 6, Davidson County, TN",8223,730,527,372,446,236,306,315,265,272,646,729,734,767,490,740,648
"District 17, Davidson County, TN",8189,1232,438,408,580,285,340,395,353,168,527,702,872,413,375,372,729
"District 6, Sullivan County, TN",8174,595,256,272,408,533,376,721,312,336,882,835,842,710,276,440,380
"District 29, Davidson County, TN",8141,246,259,322,410,418,502,209,760,593,901,856,1421,548,305,241,150
"District 25, Davidson County, TN",8097,220,145,169,137,224,479,237,179,317,414,599,828,827,549,943,1830
"District 12, Williamson County, TN",8046,271,170,199,317,182,116,222,210,165,431,399,1046,991,1176,985,1166
"District 2, Davidson County, TN",8041,1197,553,775,373,545,580,443,293,281,652,740,815,361,195,175,63
"District 15, Davidson County, TN",8020,281,183,273,315,251,357,459,374,305,992,1150,1331,680,501,346,222
"District 4, Sullivan County, TN",8020,365,361,465,509,363,382,400,530,422,770,933,1103,576,318,221,302
"District 9, Davidson County, TN",7993,320,568,509,689,539,357,502,421,411,836,935,1052,458,151,183,62
"District 27, Davidson County, TN",7804,401,387,272,276,440,346,387,317,422,785,1022,1328,561,353,302,205
"District 33, Davidson County, TN",7754,293,94,194,263,195,263,348,290,270,753,918,1606,1234,521,384,128
"District 34, Davidson County, TN",7667,112,91,166,162,118,201,135,218,209,232,464,698,498,686,863,2814
"District 10, Davidson County, TN",7609,393,237,244,407,476,362,534,293,535,845,755,1211,618,298,220,181
"District 3, Davidson County, TN",7606,689,325,290,458,349,419,369,329,300,495,1065,986,587,363,337,245
"District 16, Davidson County, TN",7575,576,463,323,368,946,416,602,475,343,490,502,844,670,324,162,71
"District 20, Davidson County, TN",7477,768,410,247,423,445,326,181,516,280,517,897,966,672,350,251,228
"District 4, Blount County, TN",7474,302,124,501,291,334,402,616,281,292,631,775,1018,863,248,501,295
"District 23, Davidson County, TN",7454,320,224,192,88,163,149,186,259,230,415,518,1081,907,441,517,1764
"District 26, Davidson County, TN",7439,323,305,403,399,272,345,249,464,277,740,762,1102,511,531,354,402
"District 3, Washington County, TN",7351,552,188,453,321,462,601,432,156,318,634,659,838,614,228,299,596
"District 8, Davidson County, TN",7327,334,276,382,343,564,483,440,377,583,749,765,831,623,251,168,158
"District 13, Davidson County, TN",7268,269,315,256,230,335,521,395,455,590,689,892,977,659,208,268,209
"District 2, Williamson County, TN",7192,161,217,40,109,170,52,154,197,69,360,357,1257,1008,872,703,1466
"District 4, Williamson County, TN",7182,156,28,65,63,71,76,40,128,126,215,529,868,984,754,1104,1975
"District 2, Washington County, TN",7076,948,624,464,850,287,627,335,258,168,578,446,679,289,204,194,125
"District 28, Davidson County, TN",6964,340,264,393,386,510,475,440,408,373,729,771,800,501,323,121,130
"District 20, Rutherford County, TN",6851,66,40,60,128,158,288,79,413,104,544,820,1144,1006,938,625,438
"District 35, Davidson County, TN",6810,207,56,121,81,107,179,117,217,194,384,461,924,1109,714,1002,937
"District 1, Davidson County, TN",6806,439,376,376,295,193,445,367,282,313,499,686,1038,548,302,306,341
"District 4, Sumner County, TN",6791,323,227,267,269,311,318,292,233,238,602,900,898,576,628,363,346
"District 9, Williamson County, TN",6776,77,137,108,91,96,95,181,185,114,198,598,759,723,636,1201,1577
"District 5, Williamson County, TN",6737,169,28,96,60,21,66,147,97,167,185,473,501,798,598,1308,2023
"District 6, Sumner County, TN",6594,106,180,74,150,191,229,89,370,262,364,719,854,1034,476,571,925
"District 8, Williamson County, TN",6587,66,102,77,158,47,100,182,323,177,435,594,787,649,483,745,1662
"District 5, Davidson County, TN",6580,307,240,295,508,377,306,553,368,362,575,693,744,382,458,285,127
"District 16, Rutherford County, TN",6531,311,304,465,181,294,301,428,320,331,522,794,1126,619,292,141,102
"District 30, Davidson County, TN",6506,267,157,325,518,550,461,587,393,274,738,680,858,363,213,74,48
"District 1, Washington County, TN",6480,255,167,325,464,345,209,377,200,253,339,454,686,744,452,605,605
"District 8, Rutherford County, TN",6437,115,94,160,20,124,159,299,211,147,398,905,1265,1039,499,493,509
"District 7, Rutherford County, TN",6422,255,109,183,98,300,175,126,236,327,631,745,1219,831,404,519,264
"District 11, Williamson County, TN",6311,282,72,279,225,218,252,262,142,149,685,519,720,506,521,566,913
"District 7, Washington County, TN",6235,274,143,248,402,317,354,162,352,248,533,913,845,561,400,335,148
"District 7, Sumner County, TN",6218,217,133,73,182,167,200,266,201,225,305,657,878,689,624,737,664
"District 10, Williamson County, TN",6114,164,44,187,77,160,275,275,234,216,420,646,532,735,675,647,827
"District 1, Bradley County, TN",6076,249,360,206,205,390,460,165,321,196,412,625,869,637,435,229,317
"District 11, Rutherford County, TN",6052,269,410,278,248,339,332,290,406,314,519,774,759,616,254,177,67
"District 6, Bradley County, TN",6051,232,633,443,276,166,318,226,265,234,524,623,827,512,342,269,161
"District 4, Washington County, TN",6025,839,620,615,371,265,366,316,372,238,438,659,287,281,97,101,160
"District 1, Williamson County, TN",5989,236,134,199,153,159,248,153,235,302,355,709,961,730,424,603,388
"District 5, Sullivan County, TN",5926,261,473,248,359,307,449,433,308,280,496,635,557,325,248,297,250
"District 7, Williamson County, TN",5883,126,26,117,99,53,65,80,105,79,156,374,451,522,449,920,2261
"District 2, Bradley County, TN",5840,109,204,179,182,300,73,239,301,460,483,716,872,747,421,400,154
"District 9, Sullivan County, TN",5767,567,434,318,309,399,299,416,297,167,414,695,721,290,135,141,165
"District 6, Washington County, TN",5730,258,291,304,208,225,254,272,285,307,561,627,937,570,275,177,179
"District 8, Sumner County, TN",5718,159,109,133,265,264,355,204,334,367,752,879,801,447,269,254,126
"District 3, Bradley County, TN",5717,524,433,389,460,374,193,420,515,275,514,315,356,369,243,146,191
"District 3, Williamson County, TN",5675,18,70,82,207,0,148,213,218,110,394,495,792,934,1069,540,385
"District 7, Bradley County, TN",5641,459,196,213,322,339,362,321,316,243,558,550,732,348,246,229,207
"District 6, Rutherford County, TN",5623,200,117,32,118,106,271,271,373,350,599,735,921,489,513,356,172
"District 10, Sullivan County, TN",5547,441,209,278,498,232,382,314,280,217,566,611,579,301,285,163,191
"District 3, Monroe County, TN",5499,439,434,467,414,516,489,425,179,289,411,436,496,208,154,80,62
"District 12, Sumner County, TN",5496,100,119,245,163,237,204,335,340,151,403,495,956,738,369,415,226
"District 9, Rutherford County, TN",5481,47,73,155,198,239,137,124,149,216,311,646,910,801,441,658,376
"District 18, Davidson County, TN",5465,222,182,187,293,148,342,195,307,140,488,288,580,366,360,548,819
"District 5, Bradley County, TN",5453,758,532,198,351,334,315,350,312,318,420,610,579,190,100,48,38
"District 15, Rutherford County, TN",5445,281,85,81,221,392,204,204,243,222,593,422,758,525,421,368,425
"District 2, Sumner County, TN",5439,215,310,274,231,224,291,262,385,218,518,775,734,455,360,147,40
"District 4, Bradley County, TN",5414,163,182,302,280,268,469,189,254,354,449,716,915,385,275,120,93
"District 7, Sullivan County, TN",5414,194,157,136,506,275,157,248,229,170,385,710,755,537,324,356,275
"District 5, Sumner County, TN",5413,348,407,517,332,243,428,276,259,326,356,553,613,302,149,219,85
"District 21, Rutherford County, TN",5387,199,406,345,307,315,516,479,272,369,466,493,557,199,223,139,102
"District 6, Williamson County, TN",5363,73,23,31,18,67,14,18,81,20,50,217,484,681,557,898,2131
"District 8, Sullivan County, TN",5344,355,241,314,266,448,305,275,218,265,563,422,596,417,184,195,280
"District 19, Rutherford County, TN",5340,65,123,181,143,137,245,236,238,338,374,967,871,747,248,382,45
"District 4, Rutherford County, TN",5330,302,212,188,249,278,208,322,216,292,492,512,828,361,386,222,262
"District 2, Monroe County, TN",5245,395,366,288,398,346,444,165,102,148,618,462,808,292,147,217,49
"District 14, Rutherford County, TN",5239,200,96,155,36,161,128,185,173,242,252,568,751,493,508,666,625
"District 3, Sumner County, TN",5229,232,64,274,144,239,202,209,242,218,385,668,867,698,377,272,138
"District 11, Sumner County, TN",5193,151,90,131,249,244,193,159,290,164,330,505,974,581,439,337,356
"District 10, Sumner County, TN",5098,289,121,73,72,124,240,307,133,138,320,892,709,423,536,290,431
"District 10, Blount County, TN",5090,173,158,274,270,278,249,375,321,250,451,432,639,274,263,311,372
"District 6, Blount County, TN",5065,280,238,47,281,304,276,168,293,285,554,495,900,463,249,113,119
"District 18, Rutherford County, TN",5049,436,192,275,355,216,197,270,319,169,500,507,491,399,243,202,278
"District 1, Monroe County, TN",5025,356,339,299,288,379,277,419,295,128,525,542,640,256,205,30,47
"District 9, Sumner County, TN",4997,51,31,229,110,79,163,273,181,217,459,401,698,375,526,535,669
"District 2, Blount County, TN",4995,293,262,160,392,322,223,173,199,186,433,594,631,433,308,219,167
"District 2, Rutherford County, TN",4977,284,102,190,139,159,59,150,112,123,413,420,1057,655,386,359,369
"District 19, Montgomery County, TN",4921,247,87,70,73,142,67,228,92,175,357,704,1045,687,332,388,227
"District 10, Madison County, TN",4915,253,210,181,265,234,339,321,329,195,402,329,676,485,346,235,115
"District 1, Sumner County, TN",4903,360,217,242,199,312,283,236,318,203,463,508,704,458,183,129,88
"District 5, Washington County, TN",4898,688,436,292,351,448,180,198,189,313,307,360,458,223,120,131,204
"District 12, Rutherford County, TN",4882,189,176,86,301,374,338,184,214,307,473,714,696,436,181,153,60
"District 1, Blount County, TN",4844,480,316,279,248,317,366,205,279,206,481,562,454,403,101,102,45
"District 3, Blount County, TN",4843,359,182,100,352,203,133,421,165,233,216,491,1078,428,304,142,36
"District 4, Madison County, TN",4800,235,150,218,260,314,97,207,362,359,514,776,622,375,75,125,111
"District 10, Rutherford County, TN",4770,73,118,120,42,206,195,91,256,225,395,599,959,646,398,369,78
"District 8, Blount County, TN",4760,176,262,262,238,232,278,265,157,210,374,404,775,396,272,224,235
"District 9, Madison County, TN",4744,121,112,67,178,66,146,284,193,158,480,446,599,544,322,476,552
"District 3, Rutherford County, TN",4661,228,59,212,155,108,126,210,349,168,401,581,1054,227,409,204,170
"District 5, Rutherford County, TN",4608,143,149,257,136,207,136,269,325,257,296,797,759,431,124,180,142
"District 7, Blount County, TN",4573,264,267,230,215,207,251,138,195,310,371,496,648,325,253,224,179
"District 5, Loudon County, TN",4508,133,184,106,73,298,291,190,180,226,401,459,612,531,236,328,260
"District 9, Blount County, TN",4505,201,299,122,218,349,175,234,236,148,283,421,627,381,361,300,150
"District 2, Madison County, TN",4495,477,242,312,339,222,214,230,232,260,257,377,427,364,195,179,168
"District 13, Rutherford County, TN",4481,139,129,163,128,74,243,198,192,204,404,692,745,462,199,278,231
"District 11, Maury County, TN",4473,169,40,183,43,179,285,227,348,173,310,397,964,537,217,307,94
"District 2, McMinn County, TN",4436,244,317,231,149,243,221,184,301,282,450,442,474,419,136,274,69
"District 5, Blount County, TN",4408,234,169,215,125,158,194,223,134,71,372,584,384,509,347,326,363
"District 6, Roane County, TN",4381,223,250,310,156,171,286,54,224,121,306,425,762,476,218,233,166
"District 5, Madison County, TN",4368,762,327,341,406,383,296,126,226,225,403,312,285,151,45,60,20
"District 2, Anderson County, TN",4359,381,406,282,212,259,218,162,229,224,410,445,525,217,110,154,125
"District 2, Greene County, TN",4306,322,265,303,303,166,337,265,129,212,375,660,495,243,139,82,10
"District 4, Sevier County, TN",4305,279,74,284,317,181,189,302,355,340,316,476,554,294,128,111,105
"District 5, Sevier County, TN",4284,343,181,298,315,324,393,196,240,196,450,342,403,304,68,78,153
"District 1, Rutherford County, TN",4186,56,87,101,34,110,190,165,287,300,463,626,667,668,134,45,253
"District 7, Greene County, TN",4147,491,290,242,264,469,273,198,149,182,429,480,340,158,52,59,71
"District 1, McMinn County, TN",4125,632,376,480,212,167,314,263,256,77,370,346,289,173,61,40,69
"District 4, McMinn County, TN",4122,252,373,398,308,267,109,237,154,229,297,456,524,233,186,43,56
"District 9, Montgomery County, TN",4119,477,103,110,147,393,293,181,121,243,412,359,591,430,105,124,30
"District 9, Cumberland County, TN",4115,153,61,135,196,238,186,173,295,272,420,557,814,279,107,172,57
"District 8, Washington County, TN",4101,128,320,126,305,217,293,204,184,181,418,324,406,475,229,176,115
"District 3, McMinn County, TN",4079,352,213,333,349,352,329,177,185,107,337,260,238,391,204,186,66
"District 20, Montgomery County, TN",4064,232,74,113,302,197,174,187,188,154,353,545,590,445,195,207,108
"District 5, McMinn County, TN",4042,291,197,171,402,154,208,230,90,243,457,333,570,232,255,156,53
"District 1, Roane County, TN",4032,281,407,277,186,244,242,187,232,90,471,286,411,275,168,202,73
"District 8, Sevier County, TN",4029,152,148,287,158,74,200,357,166,223,553,488,490,263,213,121,136
"District 5, Greene County, TN",4022,127,274,360,235,284,221,158,150,172,356,479,517,210,175,183,121
"District 1, Montgomery County, TN",4006,311,30,197,117,170,155,192,422,190,282,733,480,347,196,87,97
"District 1, Loudon County, TN",3958,164,212,314,264,163,143,170,262,116,504,300,534,519,121,76,96
"District 6, Greene County, TN",3933,371,181,317,279,225,239,193,272,138,272,349,556,232,160,108,41
"District 5, Anderson County, TN",3932,265,163,322,191,187,121,215,335,35,496,374,625,246,174,122,61
"District 9, Washington County, TN",3928,297,144,178,261,283,297,292,128,160,420,490,453,326,110,42,47
"District 17, Rutherford County, TN",3924,532,225,298,172,371,240,192,89,135,413,410,518,157,57,92,23
"District 2, Roane County, TN",3910,498,356,169,211,227,346,237,246,109,242,396,227,336,98,84,128
"District 1, Anderson County, TN",3896,218,190,170,273,254,150,186,117,167,290,240,777,409,147,175,133
"District 3, Anderson County, TN",3840,106,119,298,115,413,254,100,232,253,352,282,375,442,187,143,169
"District 8, Anderson County, TN",3829,231,66,255,175,123,126,121,199,164,244,360,264,393,248,411,449
"District 18, Montgomery County, TN",3800,67,24,21,135,290,173,87,341,257,300,678,687,397,179,120,44
"District 1, Greene County, TN",3778,251,362,206,373,188,188,144,144,140,308,255,596,248,145,109,121
"District 2, Loudon County, TN",3742,458,428,144,275,233,210,158,194,111,275,436,383,165,169,38,65
"District 4, Greene County, TN",3704,358,304,349,305,185,221,363,281,50,165,294,365,134,163,61,106
"District 6, Anderson County, TN",3699,262,235,216,149,235,275,229,253,164,279,422,380,227,127,175,71
"District 1, Hawkins County, TN",3673,247,200,296,273,178,213,105,246,116,202,459,388,343,134,104,169
"District 17, Montgomery County, TN",3668,216,79,23,66,222,211,160,194,356,318,538,555,365,198,154,13
"District 12, Montgomery County, TN",3585,150,124,103,185,208,296,340,242,188,322,489,532,208,88,54,56
"District 7, Anderson County, TN",3577,312,241,149,246,200,218,171,223,171,319,512,315,229,101,120,50
"District 10, Montgomery County, TN",3546,201,91,254,80,212,226,168,205,181,343,589,466,371,82,61,16
"District 3, Greene County, TN",3506,306,244,216,211,157,170,176,304,175,208,337,317,250,176,134,125
"District 4, Campbell County, TN",3490,282,203,186,218,264,130,145,209,144,252,405,438,241,98,150,125
"District 2, Hawkins County, TN",3487,330,241,231,232,199,127,213,138,127,238,432,496,216,125,77,65
"District 21, Montgomery County, TN",3482,215,120,148,261,221,189,356,113,228,354,353,282,208,128,179,127
"District 3, Hawkins County, TN",3469,261,176,262,287,284,252,213,166,109,233,377,357,313,84,52,43
"District 14, Montgomery County, TN",3409,191,140,161,123,63,254,131,108,178,319,304,657,384,204,119,73
"District 4, Anderson County, TN",3409,336,251,429,171,209,175,196,110,60,192,336,418,219,146,130,31
"District 3, Sevier County, TN",3404,91,124,286,152,255,330,160,187,175,435,327,544,202,84,24,28
"District 6, Maury County, TN",3368,56,157,54,152,146,100,107,103,33,247,567,648,353,331,105,209
"District 1, Campbell County, TN",3363,296,268,311,244,228,269,150,226,137,262,208,334,157,80,146,47
"District 1, Carter County, TN",3333,261,206,285,252,270,214,96,155,145,238,498,170,180,169,129,65
"District 5, Maury County, TN",3332,120,158,91,78,119,57,56,58,71,328,375,687,452,263,260,159
"District 15, Montgomery County, TN",3326,37,62,144,14,79,30,116,87,142,395,231,566,503,328,230,362
"District 7, Madison County, TN",3310,532,280,251,207,175,98,135,164,195,270,264,324,193,78,33,111
"District 8, Montgomery County, TN",3301,286,172,134,176,147,223,156,336,161,384,247,478,140,108,126,27
"District 4, Maury County, TN",3288,112,82,194,115,148,156,227,156,190,278,457,701,295,92,74,11
"District 1, Cumberland County, TN",3255,216,305,133,119,185,300,329,125,112,286,485,348,132,62,45,73
"District 7, Hawkins County, TN",3248,420,196,152,251,312,178,241,266,199,214,272,296,114,79,19,39
"District 3, Montgomery County, TN",3232,65,92,111,107,35,64,105,94,164,130,380,509,455,314,254,353
"District 5, Montgomery County, TN",3214,573,331,238,288,219,211,230,200,155,155,162,249,120,41,15,27
"District 9, Sevier County, TN",3212,40,239,171,288,91,158,262,203,89,242,566,470,173,34,142,44
"District 2, Maury County, TN",3209,352,118,191,256,71,226,201,170,179,453,243,357,112,84,100,96
"District 2, Montgomery County, TN",3193,104,133,87,79,144,101,54,89,87,192,182,548,412,257,382,342
"District 4, Hawkins County, TN",3193,178,193,251,234,229,227,249,147,114,297,380,327,225,50,81,11
"District 11, Wilson County, TN",3188,128,121,63,43,57,66,152,92,37,178,242,722,345,316,375,251
"District 4, Montgomery County, TN",3179,195,138,54,162,207,140,170,200,199,90,253,503,226,215,320,107
"District 5, Henry County, TN",3160,279,257,384,222,171,238,123,123,38,279,428,304,186,89,22,17
"District 11, Sevier County, TN",3142,225,313,110,258,143,237,242,162,102,230,404,298,203,115,70,30
"District 1, Maury County, TN",3139,184,236,130,219,160,331,212,118,144,367,365,272,116,98,101,86
"District 6, Hawkins County, TN",3138,375,171,274,174,256,166,86,184,122,403,384,227,97,79,90,50
"District 2, Campbell County, TN",3136,360,260,160,241,216,157,296,86,152,366,256,290,142,82,28,44
"District 3, Carter County, TN",3122,238,405,291,199,230,103,163,177,122,257,284,375,136,10,107,25
"District 3, Campbell County, TN",3104,127,257,188,331,188,139,173,79,226,272,263,439,298,75,42,7
"District 5, Campbell County, TN",3099,422,310,339,183,215,163,215,115,157,265,225,237,83,37,76,57
"District 4, Carter County, TN",3052,332,251,241,157,240,209,176,235,76,405,164,240,165,80,39,42
"District 4, Fayette County, TN",3051,23,62,68,55,118,96,77,149,41,337,491,553,406,173,220,182
"District 7, Montgomery County, TN",3050,134,153,76,61,216,111,140,126,88,331,336,606,293,111,218,50
"District 5, Cumberland County, TN",3029,191,132,66,250,209,220,156,211,123,387,244,396,195,139,64,46
"District 7, Sevier County, TN",3022,157,120,81,293,259,104,209,69,152,441,264,323,214,138,113,85
"District 5, Carter County, TN",3017,265,184,264,108,159,101,177,218,243,208,298,405,167,35,153,32
"District 8, Madison County, TN",3017,93,83,99,162,173,133,112,220,152,404,379,391,381,150,31,54
"District 3, Jefferson County, TN",3010,153,236,200,195,126,171,201,156,84,312,312,300,174,163,214,13
"District 6, Carter County, TN",3004,567,316,344,173,155,210,184,91,100,175,247,245,132,28,28,9
"District 10, Sevier County, TN",2987,260,95,137,138,177,181,170,82,247,201,388,521,128,42,89,131
"District 13, Montgomery County, TN",2984,359,121,311,201,88,270,158,169,136,283,310,193,161,66,88,70
"District 8, Maury County, TN",2976,102,99,24,188,189,135,121,95,188,294,403,378,298,143,193,126
"District 7, Carter County, TN",2974,183,199,176,109,134,202,251,132,188,189,285,305,398,93,61,69
"District 6, Sevier County, TN",2961,149,153,139,74,142,216,87,159,121,206,276,454,327,248,176,34
"District 10, Maury County, TN",2946,357,165,228,135,151,211,128,144,191,129,220,205,218,160,156,148
"District 1, Sevier County, TN",2944,93,125,86,161,326,84,140,160,190,366,529,316,252,43,18,55
"District 5, Hawkins County, TN",2927,228,243,147,321,106,119,261,95,243,228,230,321,221,78,43,43
"District 2, Sevier County, TN",2920,232,102,182,103,168,184,215,240,87,250,380,371,156,84,70,96
"District 7, Roane County, TN",2916,236,85,256,104,70,60,136,200,92,268,315,437,183,169,218,87
"District 11, Putnam County, TN",2909,173,59,222,157,142,308,138,104,71,220,318,419,96,56,197,229
"District 16, Montgomery County, TN",2894,270,136,84,141,282,159,187,209,146,395,355,272,147,75,6,30
"District 6, Madison County, TN",2885,101,112,348,81,238,240,107,178,134,201,335,412,194,120,58,26
"District 11, Montgomery County, TN",2869,274,29,228,195,145,188,208,156,139,237,285,493,213,65,14,0
"District 10, Putnam County, TN",2865,375,177,228,217,199,219,88,120,313,156,187,237,145,175,29,0
"District 3, Sullivan County, TN",2859,205,263,235,205,140,242,180,74,171,204,254,309,142,107,62,66
"District 6, Putnam County, TN",2830,419,193,239,153,187,224,145,145,122,238,218,150,235,57,83,22
"District 3, Madison County, TN",2792,189,34,171,126,150,157,94,216,137,205,286,406,156,131,138,196
"District 7, Loudon County, TN",2785,147,59,83,85,127,140,78,166,67,189,267,526,432,140,132,147
"District 4, Tipton County, TN",2784,26,24,20,105,58,114,73,88,164,199,290,549,352,220,221,281
"District 6, Montgomery County, TN",2775,87,65,282,63,126,116,111,101,87,215,405,470,259,214,82,92
"District 3, Henry County, TN",2765,176,140,281,178,77,87,113,203,209,144,294,237,216,85,274,51
"District 2, Carter County, TN",2760,243,284,254,153,238,195,52,118,109,272,234,191,195,122,39,61
"District 1, Cheatham County, TN",2749,245,115,48,167,226,272,179,88,131,250,375,295,193,127,20,18
"District 1, Putnam County, TN",2740,190,175,221,229,93,260,133,91,85,168,285,253,115,141,112,189
"District 3, Maury County, TN",2740,270,292,103,174,258,264,183,147,113,172,309,203,118,6,23,105
"District 4, Cumberland County, TN",2738,311,132,92,232,132,147,189,120,221,153,237,359,142,78,83,110
"District 2, Henry County, TN",2720,134,211,219,102,314,167,124,150,138,169,232,386,198,27,67,82
"District 5, Putnam County, TN",2711,120,17,160,186,54,154,114,5,165,504,325,282,309,151,125,40
"District 1, Tipton County, TN",2707,357,151,277,134,156,232,184,82,66,148,237,302,236,56,66,23
"District 9, Maury County, TN",2703,22,98,54,86,99,134,122,134,115,214,258,415,239,236,239,238
"District 5, Fayette County, TN",2697,188,74,59,109,135,108,79,107,88,200,214,249,242,225,307,313
"District 7, Cumberland County, TN",2697,154,60,152,219,91,91,149,193,202,319,310,408,177,82,31,59
"District 1, Polk County, TN",2687,175,154,104,238,163,172,166,240,33,244,258,280,140,180,100,40
"District 3, Cumberland County, TN",2687,180,92,201,137,177,156,122,98,192,291,323,341,176,25,109,67
"District 5, Tipton County, TN",2680,143,0,129,82,101,175,126,30,161,169,443,301,268,235,213,104
